rdfs:label	skos:prefLabel	skos:definition	skos:note	skos:example	class_uri	rdf:type	term_iri
establishmentMeans	Establishment Means	Statement about whether a dwc:Organism has been introduced to a given place and time through the direct or indirect activity of modern humans.	Recommended best practice is to use controlled value strings from the controlled vocabulary designated for use with this term, listed at http://rs.tdwg.org/dwc/doc/em/. For details, refer to https://doi.org/10.3897/biss.3.38084. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.	`native`; `nativeReintroduced`; `introduced`; `introducedAssistedColonisation`; `vagrant`; `uncertain`	http://rs.tdwg.org/dwc/terms/Occurrence	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/establishmentMeans
degreeOfEstablishment	Degree of Establishment	The degree to which a dwc:Organism survives, reproduces, and expands its range at the given place and time.	Recommended best practice is to use controlled value strings from the controlled vocabulary designated for use with this term, listed at http://rs.tdwg.org/dwc/doc/doe/. For details, refer to https://doi.org/10.3897/biss.3.38084. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.	`native`; `captive`; `cultivated`; `released`; `failing`; `casual`; `reproducing`; `established`; `colonising`; `invasive`; `widespreadInvasive`	http://rs.tdwg.org/dwc/terms/Occurrence	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/degreeOfEstablishment
pathway	Pathway	The process by which a dwc:Organism came to be in a given place at a given time.	Recommended best practice is to use controlled value strings from the controlled vocabulary designated for use with this term, listed at http://rs.tdwg.org/dwc/doc/pw/. For details, refer to https://doi.org/10.3897/biss.3.38084. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.	`releasedForUse`; `otherEscape`; `transportContaminant`; `transportStowaway`; `corridor`; `unaided`	http://rs.tdwg.org/dwc/terms/Occurrence	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/pathway
georeferenceVerificationStatus	Georeference Verification Status	A categorical description of the extent to which the georeference has been verified to represent the best possible spatial description for the dcterms:Location of the dwc:Occurrence.	Recommended best practice is to use a controlled vocabulary. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.	`unable to georeference`; `requires georeference`; `requires verification`; `verified by data custodian`; `verified by contributor`	http://rs.tdwg.org/dwc/terms/Occurrence	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/georeferenceVerificationStatus
occurrenceStatus	Occurrence Status	A statement about the presence or absence of a dwc:Taxon at a dcterms:Location.	For dwc:Occurrences, the default vocabulary is recommended to consist of `present` and `absent`, but can be extended by implementers with good justification. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.	`present`; `absent`	http://rs.tdwg.org/dwc/terms/Occurrence	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/occurrenceStatus
associatedMedia	Associated Media	A list (concatenated and separated) of identifiers (publication, global unique identifier, URI) of media associated with the dwc:Occurrence.		`https://arctos.database.museum/media/10520962 | https://arctos.database.museum/media/10520964`	http://rs.tdwg.org/dwc/terms/Occurrence	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/associatedMedia
associatedOccurrences	Associated Occurrences	A list (concatenated and separated) of identifiers of other dwc:Occurrence records and their associations to this dwc:Occurrence.	This term can be used to provide a list of associations to other dwc:Occurrences. Note that the dwc:ResourceRelationship class is an alternative means of representing associations, and with more detail. Recommended best practice is to separate the values in a list with space vertical bar space (` | `).	"`""parasite collected from"":""https://arctos.database.museum/guid/MSB:Mamm:215895?seid=950760""`; `""encounter previous to"":""http://arctos.database.museum/guid/MSB:Mamm:292063?seid=3175067"" | ""encounter previous to"":""http://arctos.database.museum/guid/MSB:Mamm:292063?seid=3177393"" | ""encounter previous to"":""http://arctos.database.museum/guid/MSB:Mamm:292063?seid=3177394"" | ""encounter previous to"":""http://arctos.database.museum/guid/MSB:Mamm:292063?seid=3177392"" | ""encounter previous to"":""http://arctos.database.museum/guid/MSB:Mamm:292063?seid=3609139""`"	http://rs.tdwg.org/dwc/terms/Occurrence	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/associatedOccurrences
associatedReferences	Associated References	A list (concatenated and separated) of identifiers (publication, bibliographic reference, global unique identifier, URI) of literature associated with the dwc:Occurrence.	Recommended best practice is to separate the values in a list with space vertical bar space (` | `). Note that the dwc:ResourceRelationship class is an alternative means of representing associations, and with more detail. Note also that the intended usage of the term dcterms:references in Darwin Core when applied to a dwc:Occurrence is to point to the definitive source representation of that dwc:Occurrence if one is available. Note also that the intended usage of dcterms:bibliographicCitation in Darwin Core when applied to a dwc:Occurrence is to provide the preferred way to cite the dwc:Occurrence itself.	`http://www.sciencemag.org/cgi/content/abstract/322/5899/261`; `Christopher J. Conroy, Jennifer L. Neuwald. 2008. Phylogeographic study of the California vole, Microtus californicus Journal of Mammalogy, 89(3):755-767.`; `Steven R. Hoofer and Ronald A. Van Den Bussche. 2001. Phylogenetic Relationships of Plecotine Bats and Allies Based on Mitochondrial Ribosomal Sequences. Journal of Mammalogy 82(1):131-137. | Walker, Faith M., Jeffrey T. Foster, Kevin P. Drees, Carol L. Chambers. 2014. Spotted bat (Euderma maculatum) microsatellite discovery using illumina sequencing. Conservation Genetics Resources.`	http://rs.tdwg.org/dwc/terms/Occurrence	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/associatedReferences
associatedTaxa	Associated Taxa	A list (concatenated and separated) of identifiers or names of dwc:Taxon records and the associations of this dwc:Occurrence to each of them.	This term can be used to provide a list of associations to dwc:Taxon records other than the one defined in the dwc:Occurrence. Note that the dwc:ResourceRelationship class is an alternative means of representing associations, and with more detail. This term is not apt for establishing relationships between dwc:Taxon records, only between specific dwc:Occurrences of a dwc:Organism with other dwc:Taxon records. Recommended best practice is to separate the values in a list with space vertical bar space (` | `).	"`""host"":""Quercus alba""`; `""host"":""gbif.org/species/2879737""`; `""parasitoid of"":""Cyclocephala signaticollis"" | ""predator of"":""Apis mellifera""`"	http://rs.tdwg.org/dwc/terms/Occurrence	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/associatedTaxa
otherCatalogNumbers	Other Catalog Numbers	A list (concatenated and separated) of previous or alternate fully qualified catalog numbers or other human-used identifiers for the same dwc:Occurrence, whether in the current or any other data set or collection.	Recommended best practice is to separate the values in a list with space vertical bar space (` | `).	`FMNH:Mammal:1234`; `NPS YELLO6778 | MBG 33424`	http://rs.tdwg.org/dwc/terms/Occurrence	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/otherCatalogNumbers
occurrenceRemarks	Occurrence Remarks	Comments or notes about the dwc:Occurrence.		`found dead on road`	http://rs.tdwg.org/dwc/terms/Occurrence	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/occurrenceRemarks
Organism	Organism	A particular organism or defined group of organisms considered to be taxonomically homogeneous.	Instances of the dwc:Organism class are intended to facilitate linking one or more dwc:Identification instances to one or more dwc:Occurrence instances. Therefore, things that are typically assigned scientific names (such as viruses, hybrids, and lichens) and aggregates whose dwc:Occurrences are typically recorded (such as packs, clones, and colonies) are included in the scope of this class.	`a specific bird`; `a specific wolf pack`; `a specific instance of a bacterial culture`		http://www.w3.org/2000/01/rdf-schema#Class	http://rs.tdwg.org/dwc/terms/Organism
organismID	Organism ID	An identifier for the dwc:Organism instance (as opposed to a particular digital record of the dwc:Organism). May be a globally unique identifier or an identifier specific to the data set.		`http://arctos.database.museum/guid/WNMU:Mamm:1249`	http://rs.tdwg.org/dwc/terms/Organism	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/organismID
organismName	Organism Name	A textual name or label assigned to a dwc:Organism instance.		`Huberta`; `Boab Prison Tree`; `J pod`	http://rs.tdwg.org/dwc/terms/Organism	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/organismName
organismScope	Organism Scope	A description of the kind of dwc:Organism instance. Can be used to indicate whether the dwc:Organism instance represents a discrete organism or if it represents a particular type of aggregation.	Recommended best practice is to use a controlled vocabulary. This term is not intended to be used to specify a type of dwc:Taxon. To describe the kind of dwc:Organism using a URI object in RDF, use rdf:type (http://www.w3.org/1999/02/22-rdf-syntax-ns#type) instead.	`multicellular organism`; `virus`; `clone`; `pack`; `colony`	http://rs.tdwg.org/dwc/terms/Organism	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/organismScope
associatedOrganisms	Associated Organisms	A list (concatenated and separated) of identifiers of other dwc:Organisms and the associations of this dwc:Organism to each of them.	This term can be used to provide a list of associations to other dwc:Organisms. Note that the dwc:ResourceRelationship class is an alternative means of representing associations, and with more detail. Recommended best practice is to separate the values in a list with space vertical bar space (` | `).	"`""sibling of"":""http://arctos.database.museum/guid/DMNS:Mamm:14171""`; `""parent of"":""http://arctos.database.museum/guid/MSB:Mamm:196208"" | ""parent of"":""http://arctos.database.museum/guid/MSB:Mamm:196523"" | ""sibling of"":""http://arctos.database.museum/guid/MSB:Mamm:142638""`"	http://rs.tdwg.org/dwc/terms/Organism	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/associatedOrganisms
previousIdentifications	Previous Identifications	A list (concatenated and separated) of previous assignments of names to the dwc:Organism.	Recommended best practice is to separate the values in a list with space vertical bar space (` | `).	`Chalepidae`; `Pinus abies`; `Anthus sp., field ID by G. Iglesias | Anthus correndera, expert ID by C. Cicero 2009-02-12 based on morphology`	http://rs.tdwg.org/dwc/terms/Organism	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/previousIdentifications
organismRemarks	Organism Remarks	Comments or notes about the dwc:Organism instance.		`One of a litter of six`	http://rs.tdwg.org/dwc/terms/Organism	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/organismRemarks
MaterialEntity	Material Entity	An entity that can be identified, exists for some period of time, and consists in whole or in part of physical matter while it exists.	The term is defined at the most general level to admit descriptions of any subtype of material entity within the scope of Darwin Core. In particular, any kind of material sample, preserved specimen, fossil, or exemplar from living collections is intended to be subsumed under this term.	`an instance of a fossil`; `an instance of a herbarium sheet with its attached plant specimen`; `a particular part of the plant-derived material affixed to a herbarium sheet`; `an instance of a frozen tissue sample`; `a specific water sample`; `an instance of a meteorite fragment`; `a particular wolf in a zoo`; `a particular pack of wolves in the wild`; `an isolated molecule of DNA`; `a specific deep-frozen DNA sample`; `a particular field notebook`; `a particular paper page from a field notebook`; `an instance of a printed photograph`		http://www.w3.org/2000/01/rdf-schema#Class	http://rs.tdwg.org/dwc/terms/MaterialEntity
materialEntityID	Material Entity ID	An identifier for a particular instance of a dwc:MaterialEntity.	Values of dwc:materialEntityID are intended to uniquely and persistently identify a particular dwc:MaterialEntity within some context. Examples of context include a particular sample collection, an organization, or the worldwide scale. Recommended best practice is to use a persistent, globally unique identifier. The identifier is bound to a physical object (the dwc:MaterialEntity) as opposed to a particular digital record (representation) of that physical object.	`06809dc5-f143-459a-be1a-6f03e63fc083`	http://rs.tdwg.org/dwc/terms/MaterialEntity	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/materialEntityID
preparations	Preparations	A list (concatenated and separated) of preparations and preservation methods for a dwc:MaterialEntity.	Recommended best practice is to separate the values in a list with space vertical bar space (` | `). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.	`fossil`; `cast`; `photograph`; `DNA extract`; `skin | skull | skeleton`; `whole animal (ETOH) | tissue (EDTA)`	http://rs.tdwg.org/dwc/terms/MaterialEntity	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/preparations
disposition	Disposition	The current state of a dwc:MaterialEntity with respect to a collection.	Recommended best practice is to use a controlled vocabulary. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.	`in collection`; `missing`; `on loan`; `used up`; `destroyed`; `deaccessioned`	http://rs.tdwg.org/dwc/terms/MaterialEntity	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/disposition
