xs:element,xs:documentation
electronicMailAddress,"The electronic mail address is the email address for the party. It is intended to be an Internet SMTP email address, which should consist of a username followed by the @ symbol, followed by the email server domain name address."
emphasis,A span of emphasized text in a paragraph. Emphasized text is generally rendered as boldfaced or otherwise distinct from the surrounding text. This markup is a subset of DocBook.
endDate,A single time stamp signifying the end of some time period
endRange,The upper value in a range of numbers.
externallyDefinedFormat,Information about a non-text or proprietary formatted object.
formationPeriod,"Text description of the time period during which the collection was assembled e.g. ""Victorian"", or ""1922 - 1932"", or ""c. 1750""."
formatName,"Name of the format of the data object, e.g., ESRI Shapefile."
formatVersion,Version of the format of the data object
funderIdentifier,"The funder identifier is used to provide one or more canonical identifiers that reference the funder. These identifiers should be globally unique. The most common form of a funder identifier is a DOI identifier of an institution or program drawn from the CrossRef Open Funder Registry (https://gitlab.com/crossref/open_funder_registry), which assigns DOIs to each funding agency and to their programs, and links these together in a navigable hierarchy. A copy of the current Funder Registry is included as an RDF file with EML for reference, but as the list is constantly growing, users can retrieve new copies of the RDF file to get updates and current metadata about funders."
funderName,"The name of the funding institution, with fully expanded acronyms to show the full, official name of the funding agency. In general, this should match the official name of the funder as listed in an Authority such as the Open Funder Registry. The Open Funder Registry and other organizational authorities may provide a list of other alternative names for the funding agency."
funding,The funding field is used to provide information about funding sources for the project such as: grant and contract numbers; names and addresses of funding sources.
generalTaxonomicCoverage,A general description of the range of taxa addressed in the data set or collection
geographicCoverage,"A container for spatial information about a resource; allows a bounding box for the overall coverage (in lat long), and also allows description of arbitrary polygons with exclusions."
geographicDescription,"A short text description of a dataset's geographic areal domain. A text description is especially important to provide a geographic setting when the extent of the dataset cannot be well described by the ""boundingCoordinates""."
gettingStarted,"One or more paragraphs describing the dataset's overall interpretation, content and structure. For example, the number and names of data files, the types of measurements that they contain, how those data files fit together in an overall design, and how they relate to the data collection methods, experimental design, and sampling design described in other EML sections. One might describe any specialized software that is available and/or may be necessary for analyzing or interpreting the data, and possibly include a high-level description of data formats if they are unusual."
givenName,"The given name field can be used for first name of the individual associated with the resource, or for any other names that are not intended to be alphabetized, (as appropriate)."
identifier,"The official identifier for the license, which should be drawn from the SPDX license vocabulary, or a similar well-known license vocabulary."
individualName,The individualName field contains subfields so that a person's name can be broken down into parts.
intellectualRights,"Contain a rights management statement for the resource, or reference a service providing such information"
introduction,"One to many paragraphs that provide background and context for the dataset with appropriate figures and references. This is similar to the introduction for a journal article, and would include, for example, project objectives, hypotheses being addressed, what is known about the pattern or process under study, how the data have been used to date (including references), and how they could be used in the future."
jgtiCuratorialUnit,"A quantitative descriptor (number of specimens, samples or batches)."
jgtiUnitRange,"A range of numbers (x to x), with the lower value representing an exact number, when the higher value is omitted."
jgtiUnits,The exact number of units within the collection
jgtiUnitType,"A general description of the unit of curation, e.g., 'jar containing plankton sample';"
keyword,This field names a keyword or key phrase that concisely describes the resource or is related to the resource. Each keyword field should contain one and only one keyword
keywordSet,A wrapper element for the keyword and keywordThesaurus elements
keywordThesaurus,The name of the official keyword thesaurus from which keyword was derived
language,The language in which the resource (not the metadata document) is written
licensed,"This element provides information on how the resource is licensed and what rights may be available to users. GBIF only supports the following licenses CC0, CC BY and CC BY-NC. By default, the license provided here applies to all the dataset records."
licenseName,The official name of a license that applies to the data and metadata described in this metadata record.
literatureCited,"A citation to articles or products which were referenced in the dataset or its associated metadata. The list represents the bibliography of works related to the dataset, whether for reference, comparison, or others purposes."
livingTimePeriod,Time period during which biological material was alive. (for palaeontological collections)
metadata,This element contains the additional metadata to be included in the document. This element should be used for extending EML to include metadata that is not already available in another part of the EML specification.
metadataProvider,The party responsible for the creation of the metadata document
methods,"The methods field documents scientific methods used in the collection of this dataset. It includes information on items such as tools, instrument calibration and software."
methodStep,"The methodStep field allows for repeated sets of elements that document a series of procedures followed to produce a data object. These include text descriptions of the procedures, relevant literature, software, instrumentation, source data and any quality control measures taken."
northBoundingCoordinate,The northBoundingCoordinate field defines the latitude of the northern-most point of the bounding box that is being described.
numPhysicalLinesPerRecord,"A single logical data record may be written over several physical lines in a file, with no special marker to indicate the end of a record. In such cases, it is necessary to know the number of lines per record in order to correctly read them. If this value is not provided, processors should assume that records are wholly contained on one physical line. If the value is greater than 1, then processors should examine the lineNumber field for each attribute to determine which line of the record contains the information."
online,This element contains information for accessing the resource online represented as a URL connection
onlineUrl,"A link to associated online information, usually a web site. When the party represents an organization, this is the URL to a website or other online information about the organization. If the party is an individual, it might be their personal web site or other related online information about the party."
orderedlist,An ordered list of items in a text paragraph. The list is generally displayed as a numbered list. This markup is a subset of DocBook.
organizationName,The full name of the organization that is associated with the resource. This field is intended to describe which institution or overall organization is associated with the resource being described.
parentCollectionIdentifier,Identifier for the parent collection for this sub-collection. Enables a hierarchy of collections and sub collections to be built.
personnel,The Personnel field extends ResponsibleParty with role information and is used to document people involved in a research project by providing contact information and their role in the project.
phone,"The phone field describes information about the responsible party's telephone, be it a voice phone, fax."
physical,"A container element for all of the elements that let you describe the internal/external characteristics and distribution of a data object (e.g., dataObject, dataFormat, distribution) ."
physicalLineDelimiter,"This element specifies the physical line delimiter character when the format is text. The line delimiter is usually a linefeed (\n) on UNIX, a carriage return (\r) on MacOS, or both (\r\n) on Windows/DOS. Multiline records are usually delimited with two line ending characters, for example on UNIX it would be two linefeed characters (\n\n). As line delimiters are often non-printing characters, one can use either the special value ""\n"" to represent a linefeed (ASCII 0x0a) and ""\r"" to represent a carriage return (ASCII 0x0d). Alternatively, one can use the hex value to represent character values (e.g., 0x0a). If this value is not provided, processors should assume that the physical line delimiter is the same as the record delimiter."
positionName,"This field is intended to be used instead of a particular person or full organization name. If the associated person who holds the role changes frequently, then Position Name would be used for consistency. E.g., GBIF Data Manager."
postalCode,"The postal code is equivalent to a U.S. zip code, or the number used for routing to an international address."
project,"The project field contains information on the project in which this dataset was collected. It includes information such as project personnel, funding, study area, project design and related projects."
pubDate,The date on which the resource was published
publisher,"The publisher of this data set. This is typically an institution that is making the data available in a published (ie, citable) format."
purpose,"A synopsis of the purpose of this dataset. It may include one or more paragraphs, including a summary of key findings if appropriate."
qualityControl,The qualityControl field provides a location for the description of actions taken to either control or assess the quality of data resulting from the associated method step.
rangeOfDates,"The 'RangeOfDates' field is intended to be used for describing a range of dates and/or times. It may be used multiple times to document multiple date ranges. It allows for two 'singleDateTime' fields, the first to be used as the beginning dateTime, and the second to be used as the ending dateTime of the range."
recordDelimiter,"This element specifies the record delimiter character when the format is text. The record delimiter is usually a linefeed (\n) on UNIX, a carriage return (\r) on MacOS, or both (\r\n) on Windows/DOS. Multiline records are usually delimited with two line ending characters, for example on UNIX it would be two linefeed characters (\n\n). As record delimiters are often non-printing characters, one can use either the special value ""\n"" to represent a linefeed (ASCII 0x0a) and ""\r"" to represent a carriage return (ASCII 0x0d). Alternatively, one can use the hex value to represent character values (e.g., 0x0a)."
relatedProject,This field is a recursive link to another project. This allows projects to be nested under one another in the case where one project spawns another.
resourceLogoUrl,URL of the logo associated with a resource
role,"Use this field to describe the role the party played with respect to the resource. Some potential roles include technician, reviewer, principal investigator, and many others."
salutation,"The salutation field is used in addressing an individual with a particular title, such as Dr., Ms., Mrs., Mr., etc."
sampling,"Description of sampling procedures including the geographic, temporal and taxonomic coverage of the study."
samplingDescription,The samplingDescription field allows for a text-based/human readable description of the sampling procedures used in the research project. The content of this element would be similar to a description of sampling procedures found in the methods section of a journal article.
section,"The ""section"" element allows for grouping related paragraphs of text together, with an optional title. This markup is a subset of DocBook."
shortName,The 'shortName' field provides a concise name that describes the resource that is being documented. It is the appropriate place to store a filename associated with other storage systems.
singleDateTime,The SingleDateTime field is intended to describe a single date and time for an event
southBoundingCoordinate,The southBoundingCoordinate field defines the latitude of the southern-most point of the bounding box that is being described.
specimenPreservationMethod,Picklist keyword indicating the process or technique used to prevent physical deterioration of non-living collections. Expected to contain a value from the GBIF Specimen Preservation Method vocabulary
studyAreaDescription,"The studyAreaDescription field documents the physical area associated with the research project. It can include descriptions of the geographic, temporal, and taxonomic coverage of the research location and descriptions of domains (themes) of interest such as climate, geology, soils or disturbances."
studyExtent,"The field studyExtent represents both a specific sampling area and the sampling frequency (temporal boundaries, frequency of occurrence). The geographic studyExtent is usually a surrogate (representative area of) for the larger area documented in the ""studyAreaDescription""."
surName,"The surname field is used for the last name of the individual associated with the resource. This is typically the family name of an individual, for example, the name by which s/he is referred to in citations."
taxonomicClassification,Information about the range of taxa addressed in the dataset or collection
taxonomicCoverage,Taxonomic Coverage is a container for taxonomic information about a resource. It includes a list of species names (or higher level ranks) from one or more classification systems.
taxonRankName,"The name of the taxonomic rank for which the Taxon rank value is provided, e.g., Phylum, Class, Genus, Species"
taxonRankValue,The name representing the taxonomic rank of the taxon being described
temporalCoverage,"This field specifies temporal coverage, and allows coverages to be a single point in time, multiple points in time, or a range of dates."
title,The optional title for a section. This markup is a subset of DocBook.
url,"The persistent URL for the license, typically a SPDX URL, or an official URL from another well-known license vocabulary."
value,Language translation as specified by the xml:lang attribute
westBoundingCoordinate,The westBoundingCoordinate field defines the longitude of the western-most point of the bounding box that is being described.
