csvw:table,dcterms:title,csvw:column,skos:description,csvw:datatype,csvw:format,skos:note,skos:example,vann:preferredNamespacePrefix,iri,csvw:required,dsd:isUnique,csvw:minLength
chronometric-age,ChronometricAge,earliestChronometricAgeReferenceSystem,The reference system associated with the chrono:earliestChronometricAge.,string,default,Recommended best practice is to use a controlled vocabulary.,`kya`; `mya`; `BP`; `AD`; `BCE`; `ka`; `Ma`; `Ga`,chrono,http://rs.tdwg.org/chrono/terms/earliestChronometricAgeReferenceSystem,,,
chronometric-age,ChronometricAge,latestChronometricAge,The minimum/latest/youngest possible age of a specimen as determined by a dating method.,string,default,"The expected unit for this field is years. This field, if populated, must have an associated latestChronometricAgeReferenceSystem.",`27`,chrono,http://rs.tdwg.org/chrono/terms/latestChronometricAge,,,
chronometric-age,ChronometricAge,latestChronometricAgeReferenceSystem,The reference system associated with the chrono:latestChronometricAge.,string,default,Recommended best practice is to use a controlled vocabulary.,`kya`; `mya`; `BP`; `AD`; `BCE`; `ka`; `Ma`; `Ga`,chrono,http://rs.tdwg.org/chrono/terms/latestChronometricAgeReferenceSystem,,,
chronometric-age,ChronometricAge,chronometricAgeUncertaintyInYears,The temporal uncertainty of the chrono:earliestChronometricAge and chrono:latestChronometicAge in years.,integer,default,The expected unit for this field is years. The value in this field is number of years before and after the values given in the earliest and latest chronometric age fields within which the actual values are estimated to be.,`100`,chrono,http://rs.tdwg.org/chrono/terms/chronometricAgeUncertaintyInYears,,,
chronometric-age,ChronometricAge,chronometricAgeUncertaintyMethod,The method used to generate the value of chrono:ChronometricAgeUncertaintyInYears.,string,default,,`2-sigma calibrated range`; `Half of 95% confidence interval`,chrono,http://rs.tdwg.org/chrono/terms/chronometricAgeUncertaintyMethod,,,
chronometric-age,ChronometricAge,materialDated,"A description of the material on which the chrono:ChronometricAgeProtocol was actually performed, if known.",string,default,,`Double Tuff`; `Charcoal found in Stratum V`; `charred wood`; `tooth`,chrono,http://rs.tdwg.org/chrono/terms/materialDated,,,
chronometric-age,ChronometricAge,materialDatedID,"An identifier for the MaterialEntity on which the chrono:ChronometricAgeProtocol was performed, if applicable.",string,default,,`https://www.ebi.ac.uk/metagenomics/samples/SRS1930158`,chrono,http://rs.tdwg.org/chrono/terms/materialDatedID,,,
chronometric-age,ChronometricAge,materialDatedRelationship,"The relationship of the chrono:materialDated to a dwc:MaterialEntity, from which the chrono:ChronometricAge of the related dwc:MaterialEntity and any related dwc:Occurrence is inferred.",string,default,Recommended best practice is to use a controlled vocabulary.,"`sameAs` (cases where the subject material was completely destructively subsampled to get the chrono:ChronometricAge); `subsampleOf` (cases where part of the original MaterialEntity was extracted as the material used to determine the chrono:ChronometricAge); `inContextWith` (cases where the chrono:ChronometricAge is inferred from materialDated, such as sediments or cultural objects, in related temporal context); `stratigraphicallyCorrelatedWith` (cases where the chrono:ChronometricAge is inferred from materialDated in a stratigraphically correlated context)",chrono,http://rs.tdwg.org/chrono/terms/materialDatedRelationship,,,
chronometric-age,ChronometricAge,chronometricAgeDeterminedBy,"A list (concatenated and separated) of names of people, groups, or organizations who determined the chrono:ChronometricAge.",string,default,Recommended best practice is to separate the values in a list with space vertical bar space ( | ).,`Michelle LeFebvre | Neill Wallis`,chrono,http://rs.tdwg.org/chrono/terms/chronometricAgeDeterminedBy,,,
chronometric-age,ChronometricAge,chronometricAgeDeterminedByID,The identifier for the Agent who determined the chrono:ChronometricAge.,string,default,"Recommended best practice is to provide a single identifier that disambiguates the details of the acting agent. If a list is used, the order of the agents on the list should not be assumed to convey any semantics. Recommended best practice is to separate the values in a list with space vertical bar space (` | `).",`https://orcid.org/0000-0002-1825-0097`,gum,,,,
chronometric-age,ChronometricAge,chronometricAgeDeterminedDate,The date on which the chrono:ChronometricAge was determined.,string,default,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,`1963-03-08T14:07-0600` (8 Mar 1963 at 2:07pm in the time zone six hours earlier than UTC); `2009-02-20T08:40Z` (20 February 2009 8:40am UTC); `2018-08-29T15:19` (3:19pm local time on 29 August 2018); `1809-02-12` (some time during 12 February 1809); `1906-06` (some time in June 1906); `1971` (some time in the year 1971).,chrono,http://rs.tdwg.org/chrono/terms/chronometricAgeDeterminedDate,,,
chronometric-age,ChronometricAge,chronometricAgeReferences,"A list (concatenated and separated) of identifiers (publication, bibliographic reference, global unique identifier, URI) of literature associated with the chrono:ChronometricAge.",string,default,Recommended best practice is to separate the values in a list with space vertical bar space ( | ).,"`Pluckhahn, Thomas J., Neill J. Wallis, and Victor D. Thompson. 2020 The History and Future of Migrationist Explanation in the Archaeology of the Eastern Woodlands: A Review and Case Study of the Woodland Period Gulf Coast. Journal of Archaeological Research. https://doi.org/10.1007/s10814-019-09140-x`",chrono,http://rs.tdwg.org/chrono/terms/chronometricAgeReferences,,,
chronometric-age,ChronometricAge,chronometricAgeRemarks,Comments or notes about a chrono:ChronometricAge.,string,default,,"`Beta Analytic number: 323913 | One of the Crassostrea virginica right valve specimens from North Midden Feature 17 was chosen for AMS dating, but it is unclear exactly which specimen it was.`",chrono,http://rs.tdwg.org/chrono/terms/chronometricAgeRemarks,,,
collection-agent-role,CollectionAgentRole,agentID,An identifier for an Agent.,string,default,Recommended best practice is to use a globally unique identifier.,,gum,,True,False,
collection-agent-role,CollectionAgentRole,collectionID,An identifier for a Collection.,string,default,"For physical specimens, the recommended best practice is to use a globally unique and resolvable identifier from a collections registry such as the GBIF Registry of Scientific Collections (https://www.gbif.org/grscicoll).",`https://www.gbif.org/grscicoll/collection/fbd3ed74-5a21-4e01-b86a-33d36f032d9c`,dwc,http://rs.tdwg.org/dwc/terms/collectionID,True,False,
collection-agent-role,CollectionAgentRole,agentRole,The category that best matches the nature of a role of an Agent.,string,default,Recommended best practice is to use a controlled vocabulary for the roles appropriate to the class of resource an AgentRole is related to.,`collector`; `preparator`; `organizer`; `author`; `creator`; `owner`; `observer`; `director`; `husband`,gum,,,,
collection-agent-role,CollectionAgentRole,agentRoleIRI,The IRI of the controlled vocabulary value for the role of an Agent.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,gum,,,,
collection-agent-role,CollectionAgentRole,agentRoleVocabulary,The reference to the controlled vocabulary where the definition of the value for agentRole is given.,string,default,,,gum,,,,
collection-agent-role,CollectionAgentRole,agentRoleOrder,The numerical position of an AgentRole in a set of AgentRoles that have the same combination of agentRoleTargetID and agentRoleTargetType.,integer,default,"One could use agentRoleOrder to create an ordered list of collectors for a dwc:MaterialEntity, for example. The first would have agentRoleOrder=1, the second would have agentRoleOrder=2.",`1`; `2`; `3`,gum,,False,,1.0
collection-agent-role,CollectionAgentRole,agentRoleDate,The interval during which an AgentRole was in effect.,string,default,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,`2024-07-29`,gum,,,,
collection-assertion,CollectionAssertion,assertionID,An identifier for an Assertion.,string,default,Recommended best practice is to use a globally unique identifier.,,dwc,http://rs.tdwg.org/dwc/terms/measurementID,True,True,
collection-assertion,CollectionAssertion,collectionID,An identifier for a Collection.,string,default,"For physical specimens, the recommended best practice is to use a globally unique and resolvable identifier from a collections registry such as the GBIF Registry of Scientific Collections (https://www.gbif.org/grscicoll).",`https://www.gbif.org/grscicoll/collection/fbd3ed74-5a21-4e01-b86a-33d36f032d9c`,dwc,http://rs.tdwg.org/dwc/terms/collectionID,True,False,
collection-assertion,CollectionAssertion,assertionType,The category that best matches the nature of an Assertion.,string,default,,`mass`; `mean mass`; `weight standard deviation`; `minimum organism quantity`; `water temperature`; `salinity`,gum,,,,
collection-assertion,CollectionAssertion,assertionTypeIRI,The IRI of the controlled vocabulary value for the type of Assertion.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,gum,,,,
